high_watermark,row_count,head_position,timestamp
220400,200000,200000,2026-06-04 20:32:51
220531,210000,210000,2026-06-04 20:32:51
220670,210000,210000,2026-06-04 20:32:51
220808,210000,210000,2026-06-04 20:32:51
220946,210000,210000,2026-06-04 20:32:51
221070,210000,210000,2026-06-04 20:32:51
221206,210000,210000,2026-06-04 20:32:51
221338,210000,210000,2026-06-04 20:32:51
221472,210000,210000,2026-06-04 20:32:51
221608,210000,210000,2026-06-04 20:32:51
221758,210000,210000,2026-06-04 20:32:52
221892,210000,210000,2026-06-04 20:32:52
222018,210000,210000,2026-06-04 20:32:52
222153,210000,210000,2026-06-04 20:32:52
222294,210000,210000,2026-06-04 20:32:52
222420,210000,210000,2026-06-04 20:32:52
222554,210000,210000,2026-06-04 20:32:52
222690,210000,210000,2026-06-04 20:32:52
222824,210000,210000,2026-06-04 20:32:52
222960,210000,210000,2026-06-04 20:32:52
223098,210000,210000,2026-06-04 20:32:53
223234,210000,210000,2026-06-04 20:32:53
223373,210000,210000,2026-06-04 20:32:53
223510,220000,220000,2026-06-04 20:32:53
223636,220000,220000,2026-06-04 20:32:53
223772,220000,220000,2026-06-04 20:32:53
223914,220000,220000,2026-06-04 20:32:53
224050,220000,220000,2026-06-04 20:32:53
224188,220000,220000,2026-06-04 20:32:53
224312,220000,220000,2026-06-04 20:32:53
224448,220000,220000,2026-06-04 20:32:54
224584,220000,220000,2026-06-04 20:32:54
224723,220000,220000,2026-06-04 20:32:54
224856,220000,220000,2026-06-04 20:32:54
224996,220000,220000,2026-06-04 20:32:54
225120,220000,220000,2026-06-04 20:32:54
225262,220000,220000,2026-06-04 20:32:54
225398,220000,220000,2026-06-04 20:32:54
225530,220000,220000,2026-06-04 20:32:54
225666,220000,220000,2026-06-04 20:32:54
225799,220000,220000,2026-06-04 20:32:55
225938,220000,220000,2026-06-04 20:32:55
226074,220000,220000,2026-06-04 20:32:55
226210,220000,220000,2026-06-04 20:32:55
226348,220000,220000,2026-06-04 20:32:55
226484,220000,220000,2026-06-04 20:32:55
226620,220000,220000,2026-06-04 20:32:55
226746,220000,220000,2026-06-04 20:32:55
226882,220000,220000,2026-06-04 20:32:55
227019,220000,220000,2026-06-04 20:32:55
227154,220000,220000,2026-06-04 20:32:56
227287,220000,220000,2026-06-04 20:32:56
227425,220000,220000,2026-06-04 20:32:56
227562,220000,220000,2026-06-04 20:32:56
227698,220000,220000,2026-06-04 20:32:56
227826,220000,220000,2026-06-04 20:32:56
227961,220000,220000,2026-06-04 20:32:56
228102,220000,220000,2026-06-04 20:32:56
228224,220000,220000,2026-06-04 20:32:56
228360,220000,220000,2026-06-04 20:32:56
228502,220000,220000,2026-06-04 20:32:57
228639,220000,220000,2026-06-04 20:32:57
228764,220000,220000,2026-06-04 20:32:57
228904,220000,220000,2026-06-04 20:32:57
229040,220000,220000,2026-06-04 20:32:57
229182,220000,220000,2026-06-04 20:32:57
229306,220000,220000,2026-06-04 20:32:57
229446,220000,220000,2026-06-04 20:32:57
229582,220000,220000,2026-06-04 20:32:57
229718,220000,220000,2026-06-04 20:32:57
229854,220000,220000,2026-06-04 20:32:58
229990,220000,220000,2026-06-04 20:32:58
230128,220000,220000,2026-06-04 20:32:58
230252,220000,220000,2026-06-04 20:32:58
230392,220000,220000,2026-06-04 20:32:58
230534,220000,220000,2026-06-04 20:32:58
230660,220000,220000,2026-06-04 20:32:58
230800,220000,220000,2026-06-04 20:32:58
230940,220000,220000,2026-06-04 20:32:58
231062,220000,220000,2026-06-04 20:32:58
231204,220000,220000,2026-06-04 20:32:59
231343,220000,220000,2026-06-04 20:32:59
231478,220000,220000,2026-06-04 20:32:59
231618,220000,220000,2026-06-04 20:32:59
231751,220000,220000,2026-06-04 20:32:59
231888,220000,220000,2026-06-04 20:32:59
232021,220000,220000,2026-06-04 20:32:59
232156,220000,220000,2026-06-04 20:32:59
232290,220000,220000,2026-06-04 20:32:59
232426,220000,220000,2026-06-04 20:32:59
232560,220000,220000,2026-06-04 20:33:00
232690,220000,220000,2026-06-04 20:33:00
232824,220000,220000,2026-06-04 20:33:00
232954,220000,220000,2026-06-04 20:33:00
233092,220000,220000,2026-06-04 20:33:00
233224,220000,220000,2026-06-04 20:33:00
233364,220000,220000,2026-06-04 20:33:00
233498,220000,220000,2026-06-04 20:33:00
233632,220000,220000,2026-06-04 20:33:00
233770,220000,220000,2026-06-04 20:33:00
233901,220000,220000,2026-06-04 20:33:01
234042,220000,220000,2026-06-04 20:33:01
234177,220000,220000,2026-06-04 20:33:01
234314,220000,220000,2026-06-04 20:33:01
234452,220000,220000,2026-06-04 20:33:01
234588,220000,220000,2026-06-04 20:33:01
234720,230000,230000,2026-06-04 20:33:01
234854,230000,230000,2026-06-04 20:33:01
234990,230000,230000,2026-06-04 20:33:01
235115,230000,230000,2026-06-04 20:33:01
235255,230000,230000,2026-06-04 20:33:02
235393,230000,230000,2026-06-04 20:33:02
235532,230000,230000,2026-06-04 20:33:02
235670,230000,230000,2026-06-04 20:33:02
235794,230000,230000,2026-06-04 20:33:02
235932,230000,230000,2026-06-04 20:33:02
236070,230000,230000,2026-06-04 20:33:02
236210,230000,230000,2026-06-04 20:33:02
236332,230000,230000,2026-06-04 20:33:02
236477,230000,230000,2026-06-04 20:33:02
236614,230000,230000,2026-06-04 20:33:03
236749,230000,230000,2026-06-04 20:33:03
236885,230000,230000,2026-06-04 20:33:03
237011,230000,230000,2026-06-04 20:33:03
237150,230000,230000,2026-06-04 20:33:03
237290,230000,230000,2026-06-04 20:33:03
237414,230000,230000,2026-06-04 20:33:03
237552,230000,230000,2026-06-04 20:33:03
237690,230000,230000,2026-06-04 20:33:03
237824,230000,230000,2026-06-04 20:33:03
237963,230000,230000,2026-06-04 20:33:04
238101,230000,230000,2026-06-04 20:33:04
238222,230000,230000,2026-06-04 20:33:04
238362,230000,230000,2026-06-04 20:33:04
238506,230000,230000,2026-06-04 20:33:04
238632,230000,230000,2026-06-04 20:33:04
